id,performance_score,salary
1,5,38059
2,8,50742
3,2,52444
4,9,83892
5,8,72699
6,9,79254
7,2,97237
8,7,31771
9,4,32581
10,1,78271
11,7,62351
12,5,58575
13,1,33600
14,8,59220
15,3,72000
16,1,95709
17,8,99285
18,4,53298
19,3,86815
20,6,73527
21,8,72015
22,1,92194
23,5,56832
24,6,35297
25,4,80508
26,4,58202
27,7,92831
28,1,56813
29,8,56985
30,6,80803
31,9,83098
32,5,51605
33,2,30854
34,5,90139
35,8,82869
36,9,86005
37,2,99300
38,3,79170
39,9,97516
40,4,36209
41,4,35568
42,7,51550
43,4,37125
44,6,76071
45,2,55993
46,9,64186
47,8,53161
48,5,35788
49,1,89078
50,4,58912
51,9,88359
52,4,47594
53,9,89550
54,7,32575
55,7,42434
56,6,91734
57,5,39509
58,1,82265
59,8,76425
60,9,33541
61,9,93634
62,5,68082
63,4,48998
64,1,34153
65,7,94948
66,2,67507
67,6,63420
68,4,35513
69,4,97275
70,1,55876
71,1,95344
72,5,49263
73,9,53776
74,8,41002
75,5,89603
76,8,93703
77,8,51419
78,8,33768
79,7,77082
80,5,88495
81,1,30796
82,7,69222
83,7,31088
84,9,90317
85,9,80963
86,3,86278
87,9,58375
88,7,58101
89,1,88163
90,1,99094
91,2,91533
92,2,45352
93,9,83454
94,4,61512
95,9,64297
96,7,34275
97,6,95559
98,5,38293
99,5,46296
100,7,97401
101,2,44416
102,1,34498
103,8,54508
104,5,81547
105,2,88819
106,2,36902
107,3,89781
108,3,46264
109,4,36743
110,1,37709
111,9,34240
112,4,73747
113,6,96909
114,2,97114
115,1,67512
116,7,74718
117,5,92648
118,1,61366
119,1,30241
120,3,61282
121,2,41004
122,3,78658
123,3,61591
124,4,43151
125,2,89869
126,8,51651
127,6,75596
128,4,63740
129,4,44854
130,6,61556
131,9,65282
132,2,50712
133,5,73409
134,8,83815
135,9,75557
136,1,46908
137,5,77545
138,2,64907
139,9,36525
140,4,56772
141,6,81619
142,5,51323
143,1,51531
144,3,84302
145,5,63202
146,3,47527
147,3,60820
148,8,42548
149,8,79191
150,3,83644
151,7,85639
152,5,68953
153,7,38582
154,2,79557
155,1,88042
156,9,80122
157,5,33979
158,6,58375
159,7,67587
160,8,88079
161,2,75344
162,7,44398
163,6,33293
164,5,80269
165,9,67538
166,9,77228
167,6,71653
168,1,96940
169,1,93923
170,7,97851
171,6,77632
172,7,54513
173,3,67507
174,5,42597
175,5,79077
176,7,55028
177,9,39434
178,2,42861
179,1,57855
180,3,98725
181,5,55456
182,1,78921
183,2,83096
184,4,54307
185,9,91022
186,9,60497
187,8,99586
188,6,61882
189,6,84509
190,4,44175
191,8,90378
192,5,46141
193,4,90021
194,6,43121
195,9,67029
196,1,67707
197,9,79674
198,6,72754
199,2,56722
200,2,30801
201,5,39430
202,1,63578
203,7,41241
204,3,47020
205,9,52475
206,5,50294
207,8,72012
208,3,45512
209,8,84138
210,4,69828
211,6,68493
212,2,38654
213,2,80800
214,6,45377
215,5,41915
216,5,33992
217,5,96968
218,4,96383
219,3,52932
220,1,32059
221,3,84145
222,6,95483
223,7,71127
224,5,92138
225,2,37833
226,9,67600
227,4,60404
228,2,73268
229,5,77632
230,9,44204
231,7,32526
232,2,41087
233,7,61868
234,4,56734
235,5,81847
236,6,35572
237,4,90363
238,6,88567
239,3,74674
240,8,45318
241,4,76416
242,3,39195
243,4,48221
244,8,66099
245,5,80809
246,3,68393
247,7,96131
248,2,52551
249,4,44903
250,8,79484
251,1,64003
252,9,47582
253,4,39520
254,4,55437
255,5,55419
256,2,87927
257,3,34243
258,3,30096
259,3,49191
260,5,36018
261,8,87515
262,3,69438
263,2,60720
264,5,62623
265,5,34197
266,9,38142
267,8,91832
268,7,67782
269,8,84503
270,4,67255
271,4,84804
272,3,71490
273,1,36434
274,2,40549
275,3,32965
276,4,46303
277,2,61840
278,6,34549
279,5,97889
280,7,71674
281,7,78354
282,9,76737
283,6,52785
284,2,80069
285,1,67322
286,8,79033
287,8,63632
288,4,41824
289,1,99460
290,3,71560
291,7,95540
292,3,45710
293,4,95690
294,8,68073
295,6,37466
296,4,46564
297,5,79957
298,9,61048
299,6,91454
300,8,52991
301,3,49652
302,1,38359
303,9,35776
304,5,38516
305,8,86486
306,3,88040
307,4,76892
308,6,62094
309,5,64290
310,3,97148
311,4,48226
312,7,64728
313,3,44914
314,2,33536
315,5,43699
316,3,73454
317,7,98193
318,4,61853
319,5,89660
320,3,90167
321,3,61969
322,4,61152
323,4,89493
324,9,82449
325,2,83613
326,4,31319
327,7,53651
328,3,68849
329,9,88446
330,6,81067
331,5,59052
332,3,65974
333,3,42254
334,5,60383
335,5,98253
336,6,68598
337,6,31190
338,1,57330
339,6,53622
340,5,44971
341,3,36086
342,7,40206
343,4,99406
344,1,61756
345,5,63684
346,8,53956
347,2,62178
